Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
5,"""POLITISKĀ PARTIJA IZAUGSME""",17,Gints Lapsa,,17,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",18,Lelde Mangusa-Tutāne,,2,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",19,Mudīte Meliņa,8,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",20,Andis Onzuls,,,,,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",21,Ilze Oša,,16,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",22,Evita Paidere,,13,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",23,Maija Radziņa,1,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",24,Dairis Roģis,,15,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",25,Mārcis Rudzītis,,9,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",26,Ainārs Rudzītis,3,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",27,Ingrida Sebre,,14,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",28,Jānis Siliņš,,7,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",29,Andris Skride,,1,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",30,Silva Skride,,,3,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",31,Madara Stankuna,,,,1,
5,"""POLITISKĀ PARTIJA IZAUGSME""",32,Artis Svaža,5,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",33,Svetlana Anna Šauro,,8,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",34,Agnis Šumakovs,,11,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",35,Adriana Treikule,,,2,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",36,Vladimirs Trofimovs,10,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",37,Jānis Viegliņš,6,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",38,Raivis Zāģers,,12,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",39,Juris Žilko,,6,,,
6,"Partija ""Vienoti Latvijai""",1,Žaneta Abramsone,16,,,,
6,"Partija ""Vienoti Latvijai""",2,Andis Adats,,5,,,
6,"Partija ""Vienoti Latvijai""",3,Vladimirs Afanasjevs,,,13,,
6,"Partija ""Vienoti Latvijai""",4,Marija Aļbinoviča,22,,,,
6,"Partija ""Vienoti Latvijai""",5,Ainārs Arnītis,,,,,8
6,"Partija ""Vienoti Latvijai""",6,Andrejs Artjomovs,,10,,,
6,"Partija ""Vienoti Latvijai""",7,Uvis Avens,,20,,,
6,"Partija ""Vienoti Latvijai""",8,Gaida Avotiņa,,,,,10
6,"Partija ""Vienoti Latvijai""",9,Aleksandrs Beļevičs,18,,,,
6,"Partija ""Vienoti Latvijai""",10,Aleksandrs Bogdanovs,,,,12,
6,"Partija ""Vienoti Latvijai""",11,Artis Brūvers,,4,,,
6,"Partija ""Vienoti Latvijai""",12,Veronika Burova,27,,,,
6,"Partija ""Vienoti Latvijai""",13,Viktorija Čerenkova,25,,,,
6,"Partija ""Vienoti Latvijai""",14,Gunārs Dāboliņš,,3,,,
6,"Partija ""Vienoti Latvijai""",15,Andris Deniņš,5,,,,
6,"Partija ""Vienoti Latvijai""",16,Vjačeslavs Dubovskis,,,6,,
6,"Partija ""Vienoti Latvijai""",17,Ēriks Flaumanis,,23,,,
6,"Partija ""Vienoti Latvijai""",18,Ģirts Freimanis,33,,,,
6,"Partija ""Vienoti Latvijai""",19,Guntis Gelpers,,,,,4
6,"Partija ""Vienoti Latvijai""",20,Pēteris Goba,,,,,15
6,"Partija ""Vienoti Latvijai""",21,Ivars Godmanis,,1,,,
6,"Partija ""Vienoti Latvijai""",22,Jānis Grigaļūns,,9,,,
6,"Partija ""Vienoti Latvijai""",23,Inese Grigoruka,,,,5,
6,"Partija ""Vienoti Latvijai""",24,Lauris Grīns,14,,,,
6,"Partija ""Vienoti Latvijai""",25,Ivars Gulbis,34,,,,
6,"Partija ""Vienoti Latvijai""",26,Zane Ģierte,,,,7,
6,"Partija ""Vienoti Latvijai""",27,Gundega Jaunbērziņa-Beitika,13,,,,
6,"Partija ""Vienoti Latvijai""",28,Vadims Jerošenko,2,,,,
6,"Partija ""Vienoti Latvijai""",29,Oskars Juhnevičs,,,2,,
6,"Partija ""Vienoti Latvijai""",30,Karīna Juhņeviča,,,16,,
6,"Partija ""Vienoti Latvijai""",31,Jānis Jukna,,,3,,
6,"Partija ""Vienoti Latvijai""",32,Jānis Jurkāns,,,1,,
6,"Partija ""Vienoti Latvijai""",33,Ivars Kalvišķis,,2,,,
6,"Partija ""Vienoti Latvijai""",34,Aigars Kalvītis,,,,,1
6,"Partija ""Vienoti Latvijai""",35,Edmunds Kaševskis,7,,,,
6,"Partija ""Vienoti Latvijai""",36,Česlavs Kaševskis,24,,,,
6,"Partija ""Vienoti Latvijai""",37,Jānis Kazāks,,,,4,
6,"Partija ""Vienoti Latvijai""",38,Edgars Kažoks,19,,,,
6,"Partija ""Vienoti Latvijai""",39,Tatjana Kokina,,,12,,
6,"Partija ""Vienoti Latvijai""",40,Anita Kokoreviča,,,9,,
6,"Partija ""Vienoti Latvijai""",41,Arnis Krauklis,,,,,6
6,"Partija ""Vienoti Latvijai""",42,Edijs Kriķis,,15,,,
6,"Partija ""Vienoti Latvijai""",43,Evija Krilova,,16,,,
6,"Partija ""Vienoti Latvijai""",44,Jeļena Kuranova,,,5,,
6,"Partija ""Vienoti Latvijai""",45,Ivars Ķezbers,,12,,,
6,"Partija ""Vienoti Latvijai""",46,Juris Lazdāns,,,,,13
6,"Partija ""Vienoti Latvijai""",47,Krists Leiškalns,,26,,,
