Saraksts,Partija,Numurs,Vards,Gender,Apgabals,Rangs
5,"""POLITISKĀ PARTIJA IZAUGSME""",5,Rinalds Brālis,Male,Riga,7
5,"""POLITISKĀ PARTIJA IZAUGSME""",6,Artūrs Čačka,Male,Vidzeme,19
5,"""POLITISKĀ PARTIJA IZAUGSME""",7,Ainis Dzalbs,Male,Zemgale,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",8,Velga Eklona,Female,Riga,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",9,Normunds Eliņš,Male,Vidzeme,18
5,"""POLITISKĀ PARTIJA IZAUGSME""",10,Indra Garsele,Female,Vidzeme,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",11,Sandra Gintere,Female,Riga,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",12,Dace Jakovicka,Female,Kurzeme,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",13,Aija Jaunmuktāne,Female,Zemgale,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",14,Uldis Kasemirs,Male,Zemgale,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",15,Roberts Kuzņerevičs,Male,Latgale,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",16,Egita Ķeive,Female,Vidzeme,10
5,"""POLITISKĀ PARTIJA IZAUGSME""",17,Gints Lapsa,Male,Vidzeme,17
5,"""POLITISKĀ PARTIJA IZAUGSME""",18,Lelde Mangusa-Tutāne,Female,Vidzeme,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",19,Mudīte Meliņa,Female,Riga,8
5,"""POLITISKĀ PARTIJA IZAUGSME""",20,Andis Onzuls,Male,Zemgale,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",21,Ilze Oša,Female,Vidzeme,16
5,"""POLITISKĀ PARTIJA IZAUGSME""",22,Evita Paidere,Female,Vidzeme,13
5,"""POLITISKĀ PARTIJA IZAUGSME""",23,Maija Radziņa,Female,Riga,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",24,Dairis Roģis,Male,Vidzeme,15
5,"""POLITISKĀ PARTIJA IZAUGSME""",25,Mārcis Rudzītis,Male,Vidzeme,9
5,"""POLITISKĀ PARTIJA IZAUGSME""",26,Ainārs Rudzītis,Male,Riga,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",27,Ingrida Sebre,Female,Vidzeme,14
5,"""POLITISKĀ PARTIJA IZAUGSME""",28,Jānis Siliņš,Male,Vidzeme,7
5,"""POLITISKĀ PARTIJA IZAUGSME""",29,Andris Skride,Male,Vidzeme,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",30,Silva Skride,Female,Latgale,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",31,Madara Stankuna,Female,Kurzeme,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",32,Artis Svaža,Male,Riga,5
5,"""POLITISKĀ PARTIJA IZAUGSME""",33,Svetlana Anna Šauro,Female,Vidzeme,8
5,"""POLITISKĀ PARTIJA IZAUGSME""",34,Agnis Šumakovs,Male,Vidzeme,11
5,"""POLITISKĀ PARTIJA IZAUGSME""",35,Adriana Treikule,Female,Latgale,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",36,Vladimirs Trofimovs,Male,Riga,10
5,"""POLITISKĀ PARTIJA IZAUGSME""",37,Jānis Viegliņš,Male,Riga,6
5,"""POLITISKĀ PARTIJA IZAUGSME""",38,Raivis Zāģers,Male,Vidzeme,12
5,"""POLITISKĀ PARTIJA IZAUGSME""",39,Juris Žilko,Male,Vidzeme,6
6,"Partija ""Vienoti Latvijai""",1,Žaneta Abramsone,Female,Riga,16
6,"Partija ""Vienoti Latvijai""",2,Andis Adats,Male,Vidzeme,5
6,"Partija ""Vienoti Latvijai""",3,Vladimirs Afanasjevs,Male,Latgale,13
6,"Partija ""Vienoti Latvijai""",4,Marija Aļbinoviča,Female,Riga,22
6,"Partija ""Vienoti Latvijai""",5,Ainārs Arnītis,Male,Zemgale,8
6,"Partija ""Vienoti Latvijai""",6,Andrejs Artjomovs,Male,Vidzeme,10
6,"Partija ""Vienoti Latvijai""",7,Uvis Avens,Male,Vidzeme,20
6,"Partija ""Vienoti Latvijai""",8,Gaida Avotiņa,Female,Zemgale,10
