Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
2,"""Latvijas Krievu savienība""",Marina Ņepomņaščiha,Rīga,24,1957,Cilvēktiesību līgu starptautiskās federācijas Latvijas Cilvēktiesību komiteja,projektu vadītāja asistente
2,"""Latvijas Krievu savienība""",Oļegs Orlovs,Rīga,26,1947,Latvijas Nacionālā opera un balets,Solists
2,"""Latvijas Krievu savienība""",Jeļena Osipova,Kurzeme,1,1980,partijas LKS Liepāja teritoriālā organizācija,vadītāja
2,"""Latvijas Krievu savienība""",Andrejs Ostapenko,Kurzeme,7,1984,Pašnodarbinātā persona,autorestaurātors
2,"""Latvijas Krievu savienība""",Sergejs Padalko,Zemgale,3,1970,"Jēkabpils krievu biedrība ""Rodņik""",valdes loceklis
2,"""Latvijas Krievu savienība""",Andrejs Pagors,Zemgale,1,1986,Jelgavas valstspilsētas pašvaldība,Domes deputāts
2,"""Latvijas Krievu savienība""",Vladimirs Pedāns,Latgale,6,1935,Ludzas pilsētas Namu pārvaldnieku sabiedriskā komiteja,vadītājs
2,"""Latvijas Krievu savienība""",Valērijs Petrovs,Latgale,4,1965,SIA Interaccaunting,jurists
2,"""Latvijas Krievu savienība""",Marks Pliners,Vidzeme,18,1967,pašnodarbināta persona,pašnodarbināta persona
2,"""Latvijas Krievu savienība""",Andrejs Pokuļs,Latgale,16,1976,Rēzeknes valstspilsētas pāšvaldības pārvalde “Sociālais dienests” Pensionāru sociālo pakalpojumu centrs,Sociālais aprūpētājs
2,"""Latvijas Krievu savienība""",Aleksandrs Prutkovs,Vidzeme,14,1967,partijas LKS Salaspils teritoriāla organizācija,vadītājs
2,"""Latvijas Krievu savienība""",Aleksejs Račko,Vidzeme,8,1981,SIA Ceļu Tīkli,valdes loceklis
2,"""Latvijas Krievu savienība""",Vladislavs Rafaļskis,Rīga,18,1959,Rīgas 40. vidusskola,skolotājs
2,"""Latvijas Krievu savienība""",Aļona Raščevska,Latgale,7,1973,SIA KDM PRO,Direktore
2,"""Latvijas Krievu savienība""",Dmitrijs Ribņikovs,Latgale,2,1977,Daugavpils pilsētas pašvaldība,Domes priekšsēdētāja pirmā vietnieka palīgs
2,"""Latvijas Krievu savienība""",Romans Rodionovs,Kurzeme,5,1980,IK KODOLS-R,Valdes loceklis
2,"""Latvijas Krievu savienība""",Vladislavs Romanovs,Zemgale,15,1984,SIA TOMRA COLLECTION LATVIJA,Servisa tehniķis
2,"""Latvijas Krievu savienība""",Eduards Romanovskis,Vidzeme,16,1983,partija Latvijas krievu savienība,pasākumu koordinators
2,"""Latvijas Krievu savienība""",Arvīds Rubīns,Latgale,14,1958,SIA Mikor,Būvdarbu vadītājs
2,"""Latvijas Krievu savienība""",Regīna Savicka,Rīga,28,1987,SIA AB būve.lv,autovadītājs
2,"""Latvijas Krievu savienība""",Jurijs Seļezņovs,Vidzeme,5,1964,SIA SELEZNOVS,Valdes loceklis
2,"""Latvijas Krievu savienība""",Aleksandrs Smirnovs,Zemgale,7,1988,Jelgavas 5.vidusskola,Direktora vietnieks izglitības jomā
2,"""Latvijas Krievu savienība""",Jūlija Sohina,Rīga,4,1977,Eiropas Parlaments,Eiropas Parlamenta deputātes palīdze
