Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
4,"Partija ""VIENOTĪBA""",97,true,Laimdota Straujuma,Female,Vidzeme,1,true
4,"Partija ""VIENOTĪBA""",98,false,Kārlis Strēlis,Male,Riga,15,false
4,"Partija ""VIENOTĪBA""",99,false,Ainārs Sviklis,Male,Zemgale,15,false
4,"Partija ""VIENOTĪBA""",100,true,Kārlis Šadurskis,Male,Vidzeme,5,true
4,"Partija ""VIENOTĪBA""",101,false,Arnis Šķēls,Male,Vidzeme,23,false
4,"Partija ""VIENOTĪBA""",102,true,Juris Šulcs,Male,Zemgale,2,true
4,"Partija ""VIENOTĪBA""",103,false,Vija Tirzmale,Female,Riga,28,false
4,"Partija ""VIENOTĪBA""",104,false,Normunds Tropiņš,Male,Kurzeme,5,false
4,"Partija ""VIENOTĪBA""",105,false,Andris Ulāns,Male,Zemgale,16,false
4,"Partija ""VIENOTĪBA""",106,false,Maija Upeniece,Female,Latgale,9,false
4,"Partija ""VIENOTĪBA""",107,true,Jānis Upenieks,Male,Vidzeme,16,true
4,"Partija ""VIENOTĪBA""",108,false,Viktors Valainis,Male,Zemgale,4,false
4,"Partija ""VIENOTĪBA""",109,false,Māris Vārna,Male,Kurzeme,9,false
4,"Partija ""VIENOTĪBA""",110,false,Ilze Vergina,Female,Vidzeme,13,false
4,"Partija ""VIENOTĪBA""",111,false,Juris Galerijs Vidiņš,Male,Latgale,11,false
4,"Partija ""VIENOTĪBA""",112,false,Kaspars Vidiņš,Male,Latgale,17,false
4,"Partija ""VIENOTĪBA""",113,true,Ilze Viņķele,Female,Riga,7,true
4,"Partija ""VIENOTĪBA""",114,true,Dzintars Zaķis,Male,Latgale,3,true
4,"Partija ""VIENOTĪBA""",115,false,Mikus Žagata,Male,Kurzeme,12,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",1,false,Dina Balode,Female,Kurzeme,3,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",2,false,Natālija Bērza,Female,Riga,9,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",3,false,Gaida Bērziņa,Female,Vidzeme,5,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",4,false,Aldis Bondars,Male,Vidzeme,3,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",5,false,Rinalds Brālis,Male,Riga,7,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",6,false,Artūrs Čačka,Male,Vidzeme,19,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",7,false,Ainis Dzalbs,Male,Zemgale,4,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",8,false,Velga Eklona,Female,Riga,4,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",9,false,Normunds Eliņš,Male,Vidzeme,18,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",10,false,Indra Garsele,Female,Vidzeme,4,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",11,false,Sandra Gintere,Female,Riga,2,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",12,false,Dace Jakovicka,Female,Kurzeme,2,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",13,false,Aija Jaunmuktāne,Female,Zemgale,1,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",14,false,Uldis Kasemirs,Male,Zemgale,2,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",15,false,Roberts Kuzņerevičs,Male,Latgale,1,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",16,false,Egita Ķeive,Female,Vidzeme,10,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",17,false,Gints Lapsa,Male,Vidzeme,17,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",18,false,Lelde Mangusa-Tutāne,Female,Vidzeme,2,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",19,false,Mudīte Meliņa,Female,Riga,8,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",20,false,Andis Onzuls,Male,Zemgale,3,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",21,false,Ilze Oša,Female,Vidzeme,16,false
5,"""POLITISKĀ PARTIJA IZAUGSME""",22,false,Evita Paidere,Female,Vidzeme,13,false
