Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Atis Zilbers,Male,6,50,6
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Māris Abiļevs,Male,7,61,9
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Normunds Līcītis,Male,8,54,7
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Sandis Plūmītis,Male,9,42,10
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Vladislavs Gorjačkins,Male,10,46,13
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Zilgma Feščenko,Female,11,38,15
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Dace Kudiņa,Female,12,50,11
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jānis Urbanovičs,Male,1,5775,654
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Andrejs Klementjevs,Male,2,4859,376
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Mairis Briedis,Male,3,4442,574
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Anna Vladova,Female,4,3788,418
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Boriss Cilevičs,Male,5,3164,488
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Artūrs Rubiks,Male,6,2377,470
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Ivans Klementjevs,Male,7,2287,404
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Igors Pimenovs,Male,8,2195,379
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Igors Solomatins,Male,9,1676,382
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Andrejs Kozlovs,Male,10,1409,418
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Nikolajs Kabanovs,Male,11,2323,467
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Morozova,Female,12,1684,353
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Abiks Elkins,Male,13,1926,428
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Aleksandra Semendjajeva,Female,14,1213,349
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Andris Ķerpe,Male,15,1151,380
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Maksims Tolstojs,Male,16,1478,373
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Irina Caune,Female,17,1147,310
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Volkovs,Male,18,1193,330
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Vladimirs Tkačenko,Male,19,1098,325
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Alena Kaikova,Female,20,1012,328
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Georgijs Jakovļevs,Male,21,1043,306
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jeļena Mirnaja,Female,22,1138,305
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Angelina Erdmane,Female,23,977,341
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Oļegs Peretjagins,Male,24,971,319
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gaļina Tjune,Female,25,905,342
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Olga Tetere,Female,26,1013,315
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Irina Kuzmina-Rimša,Female,27,1030,321
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Andrejs Kurganskis,Male,28,952,313
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Arturs Arhipovs,Male,29,1053,333
Riga,Rīga,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gundars Ūdris,Male,30,1060,341
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Aleksejs Rosļikovs,Male,1,19428,68
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Nataļja Marčenko-Jodko,Female,2,3408,258
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Vilis Sruoģis,Male,3,2653,264
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Svetlana Čulkova,Female,4,3426,247
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Igors Judins,Male,5,2858,250
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Ina Barkanova,Female,6,2503,241
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Jefimijs Klementjevs,Male,7,2790,264
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Laura Valgere,Female,8,2270,257
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Ruslans Vereščagins,Male,9,2664,226
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Gerda Veigure-Kuka,Female,10,2132,272
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Jevgenijs Trigubko,Male,11,2192,230
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Aleksandra Triguba,Female,12,2115,250
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Igors Tereško,Male,13,2304,241
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Nataļja Nikuļina,Female,14,2398,233
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Maksims Ševcovs,Male,15,2542,246
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Pāvels Kuzmins,Male,16,2500,224
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Santa Škarste,Female,17,2041,266
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Ina Svilāne,Female,18,1982,255
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Sergejs Vaginovs,Male,19,2067,246
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Alisa Jevstifejeva,Female,20,2061,234
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Sergejs Jakimuškins,Male,21,2041,229
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Karina Panfilova,Female,22,2098,225
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Romans Kolosovskis,Male,23,2053,238
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Aļona Andrejeva,Female,24,2140,228
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Ivans Protopopovs,Male,25,2065,230
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Irina Buša,Female,26,1999,250
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Igors Suhanoks,Male,27,1992,231
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Kristīna Ņestereca,Female,28,1966,263
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Jeļena Bedrataja,Female,29,1931,244
Riga,Rīga,"8. Politiskā partija ""Stabilitātei!""",Žanna Mozgalova,Female,30,2016,269
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Valentīns Jeremejevs,Male,1,3056,19
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Uldis Freimantāls,Male,2,593,48
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Arvis Abromovičs,Male,3,598,58
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Andrejs Ivanovs,Male,4,609,45
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Vija Rumpāne,Female,5,509,47
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Aleksandrs Hmeļņickis,Male,6,539,50
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Aleksandrs Kočerovs,Male,7,495,44
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Andris Golovatajs,Male,8,473,45
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Jānis Nagla,Male,9,487,43
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Jurijs Kovaļenko,Male,10,479,40
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Raitis Cinks,Male,11,436,44
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Pēteris Kaušelis,Male,12,431,41
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Juris Kaļinka-Aksenovs,Male,13,443,46
Riga,Rīga,"9. Politiskā partija ""Tautas varas spēks""",Mārtiņš Dančauskis,Male,14,433,43
