Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Jānis Grahoļskis,7,71,178
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Inna Kislina,8,75,214
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Andis Bāliņš,9,87,189
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Dace Šēle,10,106,174
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Andris Jefimovs,11,111,241
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Edgars Lūks,12,89,190
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Intars Zēns,13,155,183
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Māris Rozenbergs,14,100,170
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Nellija Kleinberga,15,142,193
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Jeļena Osipova,1,592,13
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Igors Glazunovs,2,197,23
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Aleksandrs Bērziņš,3,181,21
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Tamāra Šustova,4,157,21
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Romans Rodionovs,5,169,24
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Valentīna Babaka,6,161,27
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Andrejs Ostapenko,7,175,22
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Vinsenta Daņiļceva,8,147,23
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Oļegs Ivanovs,9,165,22
Kurzeme,Liepāja,"2. ""Latvijas Krievu savienība""",Sergejs Muļivanovs,10,154,24
